Seq	Merchant	Date	Total	Category	Attendees	Project	Description
1	Taxi	2024-08-12	9300	Taxi and Rideshare		Samsung SOW 15 DX Phase 1	Taxi from Samsung DX Office to Suwon Station
2	Taxi	2024-08-27	10100	Taxi and Rideshare		Samsung SOW 15 DX Phase 1	Taxi from Samsung DX Office to Suwon Station
